num_layer,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
2,Qingdao(10kTEU),"[ 969.0477221  1057.44707024 1123.98884588 1136.93229932 1343.01814795
 1472.16054785 1636.20381391 1725.33575916 1800.88038957 1849.12557745
 1878.79576051]","[ 946.19998783 1032.00002313 1026.00001258 1201.20000911 1301.99999541
 1450.3000108  1551.99996603 1658.00003517 1747.00003254 1800.99997675
 1829.99996912]",3.8498708416696386,57.43508300551318,[1895.98626733 1898.55759275 1978.61709154],[1826.00002909 2101.00000179 2200.        ],7.8437160007613995,177.8495569109195
2,Dubai(10kTEU),"[1146.23872535 1182.79090201 1212.97693465 1274.926219   1379.96102588
 1425.5941037  1516.22100053 1648.01708486 1678.62866174 1681.65215466
 1678.71137565]","[1079.10000219 1182.69998323 1109.99999672 1160.0000033  1300.00001064
 1327.00000532 1364.10002307 1524.89997416 1560.00000051 1573.
 1536.99998861]",7.450181962258633,108.16369889031989,[1673.9250563  1668.38655037 1655.30755132],[1495.00000304 1410.99997646 1350.00001722],17.60834454499194,252.63591292115308
2,Tianjin(10kTEU),"[ 850.69381926  922.17558455  972.18382972 1040.63443263 1214.70514803
 1349.15768749 1422.7882515  1484.77582539 1538.1726225  1553.61985568
 1579.32270927]","[ 817.60000594  850.00000447  870.00000196 1008.00001497 1157.99997449
 1230.00000011 1300.99997604 1406.09996567 1410.99998389 1448.99996613
 1506.99998918]",7.099529843168548,89.74516343698798,[1598.11392356 1628.63380443 1666.98922706],[1600.00001866 1729.99998069 1835.        ],5.044365995710436,113.29354037080394
2,Rotterdam(10kTEU),"[1052.98814163 1063.08110046 1080.77721176 1115.55459938 1193.51572495
 1202.73503952 1243.83515167 1277.22479782 1280.97703629 1281.03042068
 1333.03702011]","[ 989.99999771 1080.00000572  974.30000381 1114.50000458 1187.60001755
 1186.49999542 1162.10001755 1229.79999619 1222.99998322 1237.99998779
 1372.99999008]",3.8941224257985017,53.62375290345381,[1405.65209885 1568.54739532 1712.91157379],[1451.0000061  1482.         1435.00001678],9.4439501708597,170.08009666825782
2,Kelang(10kTEU),"[ 829.62184053  840.73667814  859.86690666  959.6602383  1040.45920064
 1074.45819986 1142.83899152 1189.62433689 1287.07708111 1420.49468632
 1468.21647909]","[ 731.19999919  796.99999663  730.90000623  887.00000743  960.29998049
 1000.00000919 1034.99999653 1094.60001312 1189.00002176 1319.99998015
 1373.        ]",9.315910487868756,92.8951480418087,[1481.00950186 1453.48490801 1482.19369256],[1232.00002354 1357.9999982  1323.99998738],13.063754156221272,179.02358937228212
2,Kaohsiung(10kTEU),"[ 937.27729684  977.52672651  888.15296513  960.63764486  964.23059623
  997.87772996  997.63854046 1073.12036843 1053.48530252 1057.65985196
 1054.61247332]","[ 920.00000145  967.70000134  858.1         918.10000091  963.599997
  978.10000181  993.79999561 1059.3        1025.99999986 1045.99999616
 1027.00000267]",1.9354174460203142,22.071860244995804,[1057.58323216 1054.81898339 1055.37145178],[1045.00000534 1041.9999969   961.99999969],4.04677923978275,54.89654536137907
2,Dalian(10kTEU),"[ 540.61709365  560.09450641  557.32818681  566.00238425  707.09922183
  928.70371097 1070.40182793 1076.341097   1072.19840908 1067.64789772
 1067.86283815]","[ 464.1999943   450.30000398  455.19999644  524.20000386  639.99999535
  805.9999876   991.20000392 1001.10001111  944.99998629  961.00001431
  970.00001216]",13.374191958529373,94.72208846524774,[1068.98900759 1068.78705335 1069.23650897],[ 976.99999458 1021.          654.00000793],25.862564135937912,247.09440353678315
2,Hanburg(10kTEU),"[ 946.41464996 1042.23785925  810.65986162  807.19335493  924.3622751
  955.12411307  944.77013192 1033.14056978  810.80738035  917.28180003
  927.19859451]","[935.99999914 973.7        700.70000001 789.9999967  901.40000181
 886.29999987 930.20000778 972.9999929  881.99999813 891.00000101
 885.99999217]",5.43201936016819,55.38488021048866,[ 943.8315527   940.60501143 1034.24914794],[872.99999524 930.00000808 869.99999971],9.377705294932632,103.45265957595542
2,Antwerp(10kTEU),"[ 844.8234055   858.77954041  878.50791093  860.8182565   878.92786664
  881.22392495  895.91017288  893.10318865  992.48863861 1060.18408774
 1070.78380112]","[ 835.50000049  866.40000151  730.89999957  846.80000819  866.40000151
  863.29999593  857.79999408  897.79999137  964.99999394 1004.00001356
 1044.99998851]",3.9314824683459735,51.04307020976567,[1084.69830741 1096.91353924 1103.74323457],[1109.99999747 1109.99999747 1204.        ],3.9284552060828304,60.174329860325834
2,Xiamen(10kTEU),"[ 515.74138356  535.84954726  557.30821615  548.42063238  658.79882847
  754.50869328  848.49438978  919.44035302  968.71288968 1016.01347246
 1049.09694409]","[ 462.70000227  503.39999246  468.00000046  582.00000596  645.00001134
  720.09998355  800.80001674  857.20001477  918.00000074  960.99998462
 1037.99997706]",6.837681469497626,48.81718835504613,[1092.35804685 1093.82445505 1142.48192978],[ 999.99997947 1111.99997773 1141.        ],3.666725440358988,54.35242512580505
2,Tanjung(10kTEU),"[573.47052589 593.27906588 600.84366888 665.34791204 755.60310429
 803.58407807 827.19720268 898.88352627 906.79970741 909.4276737
 899.4987663 ]","[549.99999589 560.00000077 601.59999192 653.00000453 751.99999732
 769.99999917 762.80000538 855.00000596 909.99999809 827.99998581
 837.9999907 ]",4.378810918010296,42.04742941380113,[899.28516108 905.24998361 905.17454243],[896.0000121  909.99999809 985.        ],2.997577689630965,46.207714067875024
2,Los Angeles(10kTEU),"[705.00223453 795.67254708 725.72896682 798.48553424 792.54223232
 802.02894737 815.94584378 826.87629231 816.22334299 897.09762114
 975.85932282]","[710.3        784.99999967 726.09999954 783.10000284 794.00000056
 807.79999678 786.8999965  833.99999672 816.00000196 885.99999874
 943.00000204]",1.3026389077530929,15.110509295980936,[980.75696443 981.07438335 980.68351723],[946.         930.00000154 919.99999899],5.2540004408406,49.99709471847665
2,Long Beach(10kTEU),"[682.49496822 682.29710412 528.49654001 665.64272942 676.2262549
 676.7401683  676.37251726 677.63965279 677.9609439  680.16761195
 676.77811236]","[731.20000749 648.80000384 506.7        626.29999566 610.00000428
 604.50000268 672.99999455 682.10000181 718.99999636 680.00000153
 753.99999499]",5.6676008795007755,45.527667846034454,[607.48268288 700.07177159 544.3419033 ],[808.99999282 762.99999101 811.        ],22.012355296042006,196.36337704958396
3,Ningbo(10kTEU),"[1068.92202643 1137.49352023 1232.43254635 1262.48186946 1456.63332102
 1597.3480567  1752.99589899 1883.43732908 2065.13657025 2246.63355082
 2382.0079    ]","[ 934.9999981  1084.6000206  1042.00000843 1300.39998369 1451.19998008
 1567.10000852 1677.39993784 1870.00003746 2062.99994424 2160.00002486
 2461.00001228]",5.022325589237242,84.75881794447166,[2611.06793731 2769.79402953 2924.40744078],[2634.99994579 2748.99993271 2872.        ],1.1631437689148723,35.36323581441864
3,Shanghai(10kTEU),"[2758.07253553 2780.45575075 2846.91923819 3124.84255012 3333.92100713
 3450.63018371 3699.85053401 3875.08536396 4021.32763798 4145.6152653
 4241.27110027]","[2615.00001215 2797.99997204 2500.19998405 2906.89993685 3173.90001409
 3252.899993   3361.69997575 3528.50008061 3653.99991498 3713.00003027
 4022.99998683]",7.781342676463288,279.18546334329363,[4430.35555973 4543.99867716 4695.46382792],[4200.99998081 4329.99996384 4350.        ],6.11449268288082,269.4096554101177
3,Singapore(10kTEU),"[2863.61741873 2875.97780479 2908.00357011 2902.18897676 2962.95160025
 3016.51726205 3305.1464638  3277.57241078 3259.78448127 3280.94636201
 3281.9073885 ]","[2793.59998438 2991.79999009 2586.69998821 2843.09999049 2993.79999225
 3164.89997818 3257.89998392 3386.90002849 3091.99998468 3089.99998252
 3366.99999756]",4.127953592381522,145.8677609754577,[3272.32190847 3263.24830111 3243.65798577],[3660.00002987 3720.         3660.00002987],11.415345126937426,421.21140295282606
3,Shenzhen(10kTEU),"[2166.41138116 2137.49649179 2000.19960704 2307.77881795 2398.52217421
 2338.62605679 2510.05383962 2518.12072915 2539.5035105  2553.37517214
 2566.17634726]","[2109.90000257 2141.39997709 1825.00001942 2250.89997646 2257.00001177
 2294.00000849 2327.7999633  2403.69998425 2419.99999052 2397.00001979
 2520.99998611]",4.458807856095603,115.30301712324098,[2578.92731839 2613.8950614  2611.46621305],[2774.         2577.00000611 2655.00003096],3.3678592603454622,117.34534434234992
